#Angle	Frequency	Speed	Average_Time	Errors	Capped_Errors	Failure_rate
0.0	1.0	0.27	0.1598543619	0.211538461538	0.211538461538	0.0
0.0	2.0	0.27	0.153321207011	0.0961538461538	0.0961538461538	0.0
0.0	4.0	0.27	0.141412771783	0.115384615385	0.115384615385	0.0
0.0	8.0	0.27	0.146865861736	0.134615384615	0.134615384615	0.0
0.0	13.0	0.27	0.152702402414	0.192307692308	0.192307692308	0.0
0.0	20.0	0.27	0.150918347902	0.173076923077	0.173076923077	0.0
0.0	30.0	0.27	0.16271906789	0.173076923077	0.173076923077	0.0

30.0	1.0	0.27	0.15004326875	0.25	0.25	0.0
30.0	2.0	0.27	0.148723202398	0.230769230769	0.230769230769	0.0
30.0	4.0	0.27	0.166999077816	0.269230769231	0.269230769231	0.0
30.0	8.0	0.27	0.16914117129	0.288461538462	0.288461538462	0.0
30.0	13.0	0.27	0.168204099933	0.365384615385	0.365384615385	0.0
30.0	20.0	0.27	0.163181209748	0.326923076923	0.326923076923	0.0
30.0	30.0	0.27	0.189618770138	0.269230769231	0.269230769231	0.0

60.0	1.0	0.27	0.166653898592	0.211538461538	0.211538461538	0.0
60.0	2.0	0.27	0.145717898809	0.134615384615	0.134615384615	0.0
60.0	4.0	0.27	0.162790177508	0.423076923077	0.423076923077	0.0
60.0	8.0	0.27	0.193549916979	0.403846153846	0.403846153846	0.0
60.0	13.0	0.27	0.19202160696	0.807692307692	0.807692307692	0.0
60.0	20.0	0.27	0.201915202489	0.692307692308	0.692307692308	0.0
60.0	30.0	0.27	0.182359389832	0.403846153846	0.403846153846	0.0

90.0	1.0	0.27	0.156090095612	0.153846153846	0.153846153846	0.0
90.0	2.0	0.27	0.159367948131	0.269230769231	0.269230769231	0.0
90.0	4.0	0.27	0.17972450292	0.192307692308	0.192307692308	0.0
90.0	8.0	0.27	0.180575102153	0.288461538462	0.288461538462	0.0
90.0	13.0	0.27	0.206405473338	0.403846153846	0.403846153846	0.0
90.0	20.0	0.27	0.15812888012	0.346153846154	0.346153846154	0.0
90.0	30.0	0.27	0.166102220976	0.269230769231	0.269230769231	0.0

120.0	1.0	0.27	0.160417553035	0.25	0.25	0.0
120.0	2.0	0.27	0.166177276795	0.442307692308	0.442307692308	0.0
120.0	4.0	0.27	0.197248523866	0.596153846154	0.596153846154	0.0
120.0	8.0	0.27	0.182297210728	0.596153846154	0.596153846154	0.0
120.0	13.0	0.27	0.157426762558	0.192307692308	0.192307692308	0.0
120.0	20.0	0.27	0.151231212226	0.230769230769	0.230769230769	0.0
120.0	30.0	0.27	0.169999357927	0.307692307692	0.307692307692	0.0

180.0	1.0	0.27	0.173674192052	0.480769230769	0.480769230769	0.0
180.0	2.0	0.27	0.194633794524	0.442307692308	0.442307692308	0.0
180.0	4.0	0.27	0.174347619541	0.365384615385	0.365384615385	0.0
180.0	8.0	0.27	0.169819763659	0.25	0.25	0.0
180.0	13.0	0.27	0.165647707024	0.211538461538	0.211538461538	0.0
180.0	20.0	0.27	0.147538069077	0.115384615385	0.115384615385	0.0
180.0	30.0	0.27	0.145701072468	0.115384615385	0.115384615385	0.0

0.0	1.0	0.54	0.158967450238	0.326923076923	0.326923076923	0.0
0.0	2.0	0.54	0.166410960344	0.461538461538	0.461538461538	0.0
0.0	4.0	0.54	0.157915727944	0.326923076923	0.326923076923	0.0
0.0	8.0	0.54	0.16126626097	0.365384615385	0.365384615385	0.0
0.0	13.0	0.54	0.17041297156	0.288461538462	0.288461538462	0.0
0.0	20.0	0.54	0.158467697057	0.25	0.25	0.0
0.0	30.0	0.54	0.156329496959	0.211538461538	0.211538461538	0.0

30.0	1.0	0.54	0.181766434964	0.557692307692	0.557692307692	0.0
30.0	2.0	0.54	0.17609568642	0.365384615385	0.365384615385	0.0
30.0	4.0	0.54	0.207496463457	0.846153846154	0.846153846154	0.0
30.0	8.0	0.54	0.221203627327	0.980769230769	0.980769230769	0.0
30.0	13.0	0.54	0.17662904528	0.730769230769	0.730769230769	0.0
30.0	20.0	0.54	0.240911550518	1.01923076923	1.01923076923	0.0
30.0	30.0	0.54	0.256934378426	1.34615384615	1.17307692308	5.76923076923

60.0	1.0	0.54	0.163026681669	0.346153846154	0.346153846154	0.0
60.0	2.0	0.54	0.194794288067	0.788461538462	0.769230769231	1.92307692308
60.0	4.0	0.54	0.237704215434	1.17307692308	1.15384615385	1.92307692308
60.0	8.0	0.54	0.332719687754	1.78846153846	1.44230769231	9.61538461538
60.0	13.0	0.54	0.341460578107	2.5	1.80769230769	13.4615384615
60.0	20.0	0.54	0.43480733924	2.98076923077	2.28846153846	17.3076923077
60.0	30.0	0.54	0.327855196053	2.61538461538	2.07692307692	13.4615384615

90.0	1.0	0.54	0.189430747379	0.480769230769	0.480769230769	0.0
90.0	2.0	0.54	0.232235695784	1.26923076923	1.23076923077	1.92307692308
90.0	4.0	0.54	0.305938972411	1.80769230769	1.63461538462	5.76923076923
90.0	8.0	0.54	0.300124593443	2.34615384615	2.11538461538	9.61538461538
90.0	13.0	0.54	0.354123403218	2.48076923077	1.92307692308	11.5384615385
90.0	20.0	0.54	0.327902827631	1.92307692308	1.48076923077	7.69230769231
90.0	30.0	0.54	0.274426813582	1.26923076923	1.21153846154	3.84615384615

120.0	1.0	0.54	0.187931012747	0.692307692308	0.653846153846	1.92307692308
120.0	2.0	0.54	0.348373960658	2.13461538462	1.92307692308	5.76923076923
120.0	4.0	0.54	0.477866135685	2.98076923077	2.26923076923	13.4615384615
120.0	8.0	0.54	0.337940634859	2.21153846154	1.78846153846	9.61538461538
120.0	13.0	0.54	0.33753626625	2.07692307692	1.76923076923	9.61538461538
120.0	20.0	0.54	0.185816015481	0.711538461538	0.711538461538	0.0
120.0	30.0	0.54	0.197244755793	0.769230769231	0.769230769231	0.0

180.0	1.0	0.54	0.248548917693	0.980769230769	0.942307692308	3.84615384615
180.0	2.0	0.54	0.477556553767	2.80769230769	2.32692307692	13.4615384615
180.0	4.0	0.54	0.281217873016	1.90384615385	1.75	5.76923076923
180.0	8.0	0.54	0.296639516052	1.40384615385	1.11538461538	3.84615384615
180.0	13.0	0.54	0.169520640557	0.5	0.5	0.0
180.0	20.0	0.54	0.183492917224	0.519230769231	0.519230769231	0.0
180.0	30.0	0.54	0.171982224093	0.403846153846	0.403846153846	0.0

0.0	1.0	0.81	0.205422971183	0.711538461538	0.711538461538	0.0
0.0	2.0	0.81	0.172840366367	0.634615384615	0.634615384615	0.0
0.0	4.0	0.81	0.207921085306	0.711538461538	0.711538461538	0.0
0.0	8.0	0.81	0.178190843279	0.326923076923	0.326923076923	0.0
0.0	13.0	0.81	0.189573783603	0.692307692308	0.673076923077	1.92307692308
0.0	20.0	0.81	0.224570672962	0.903846153846	0.903846153846	0.0
0.0	30.0	0.81	0.157845095295	0.461538461538	0.461538461538	0.0

30.0	1.0	0.81	0.2239215552	0.923076923077	0.846153846154	1.92307692308
30.0	2.0	0.81	0.261439742862	0.788461538462	0.788461538462	0.0
30.0	4.0	0.81	0.256189551209	1.46153846154	1.36538461538	1.92307692308
30.0	8.0	0.81	0.300180768615	1.55769230769	1.38461538462	5.76923076923
30.0	13.0	0.81	0.376491140819	2.13461538462	1.84615384615	7.69230769231
30.0	20.0	0.81	0.286563671106	1.96153846154	1.75	11.5384615385
30.0	30.0	0.81	0.475249192279	4.67307692308	2.80769230769	32.6923076923

60.0	1.0	0.81	0.216131472719	1.05769230769	1.05769230769	0.0
60.0	2.0	0.81	0.287190541643	1.67307692308	1.48076923077	5.76923076923
60.0	4.0	0.81	0.342297358245	2.40384615385	2.05769230769	11.5384615385
60.0	8.0	0.81	0.402644621875	3.55769230769	2.42307692308	30.7692307692
60.0	13.0	0.81	0.576057374805	5.07692307692	2.92307692308	36.5384615385
60.0	20.0	0.81	0.683238850262	8.01923076923	3.32692307692	42.3076923077
60.0	30.0	0.81	0.607811553969	7.36538461538	3.51923076923	46.1538461538

90.0	1.0	0.81	0.227366770785	0.923076923077	0.923076923077	0.0
90.0	2.0	0.81	0.39516499968	2.69230769231	1.63461538462	13.4615384615
90.0	4.0	0.81	0.46657599305	3.21153846154	2.46153846154	21.1538461538
90.0	8.0	0.81	0.527125519742	7.32692307692	3.36538461538	50.0
90.0	13.0	0.81	0.562225624281	6.57692307692	3.09615384615	36.5384615385
90.0	20.0	0.81	0.457013889863	4.38461538462	2.98076923077	32.6923076923
90.0	30.0	0.81	0.390421829746	4.46153846154	2.73076923077	32.6923076923

120.0	1.0	0.81	0.286766029521	1.5	1.38461538462	5.76923076923
120.0	2.0	0.81	0.425326378402	3.09615384615	2.40384615385	17.3076923077
120.0	4.0	0.81	0.404777786423	5.65384615385	2.90384615385	36.5384615385
120.0	8.0	0.81	0.594486437297	7.34615384615	3.57692307692	51.9230769231
120.0	13.0	0.81	0.45748283907	6.26923076923	3.21153846154	38.4615384615
120.0	20.0	0.81	0.486472456755	3.36538461538	2.71153846154	19.2307692308
120.0	30.0	0.81	0.241816070728	1.5	1.28846153846	5.76923076923

180.0	1.0	0.81	0.331317002698	2.03846153846	1.69230769231	7.69230769231
180.0	2.0	0.81	0.671524198168	5.26923076923	2.78846153846	32.6923076923
180.0	4.0	0.81	0.548019781944	6.19230769231	3.46153846154	50.0
180.0	8.0	0.81	0.445306379719	3.15384615385	2.21153846154	19.2307692308
180.0	13.0	0.81	0.342908365786	1.67307692308	1.42307692308	7.69230769231
180.0	20.0	0.81	0.249385915409	1.07692307692	1.05769230769	1.92307692308
180.0	30.0	0.81	0.21839812679	1.15384615385	1.13461538462	1.92307692308

